root_id,root_letters,description,category
480,خمط,فقد الشيء طيبه لعدم سواء الأثناء، أو تغيرها,خ م
481,خمم,الاضطمام على مائع كثير، أو خَوَرٍ، أو ما يناسب ذلك من ضعف وفساد,خ م
482,خنز,ريح خبيثة حادة تتولد في أثناء الشيء تُشَمّ أي تعرف منه,خ ن
483,خنزر,شيء غليظ المنظر والمخبر دائم الغلظ,خ ن
484,خنس,تأخر الناتيء الدقيق غائرًا في ما نتأ منه,خ ن
485,خنق,ضيق شديد يعترض في التجوف الممتد بحيث يكاد يسده,خ ن
486,خنن,تجوفٌ ضَيِّق يمتد في باطن (مَعَ خَشونة ما),خ ن
487,خوب,خُلُو حوزة الشيء من (طيب) يُتَوَقَّع أن يشغلها,خ و ب / خ ي ب
488,خوخ,خَرْقٌ - أو فراغ - نافذ في عريض صلب، أو بين عريضين,التراكيب الخائية
489,خور,تخلخل أثناء الشيء أو رخاوتها بحيث يُنفذ منها بغزارة,خ ر
490,خوض,مخالطة (الرخو) بغِلَظ، أو كثافة,خ ض
491,خوف,فراغ كبير في جوف الشيء (لذهاب ما كان يشغله),خ ف
492,خول,حَوْزُ لطيف مع بعد أو تباعد (حيازة مؤقتة),خ ل
493,خون,نقص خطير في خِفْيَة أو لطف من باطن,خ ن
494,خوو,فراغ أثناءَ مكتنفةٍ محاطة,التراكيب الخائية
495,خيط,امتداد الجرم دقيقا متصلا ينفذ خلال أثناء,خ ط
496,خيل,أن يظهر على الشيء ما يشي باحتوائه شيئًا زائدًا متميزًا,خ ل
497,خيم,كون الشيء غَضًا على أول فِطْرته لم تمسه صَنْعة,خ م
498,دأب,الاستمرار في إتيان الشيء بجد ودفع يمنع الفتور,دب
499,دبب,حركة بطيئة أو خفيّة لثِقَل عظيم,دب
500,دبر,امتداد غائر إلى آخر الشيء أو خلفه بقوة,دب
501,دثث,إصابة بدفع متسع الوقع أو كثيف يؤلم الأثناء,دث
502,دثر,تغطي الشيء بطبقة كثيفة من دقاق,دث
503,دحح,صدم أو ضغط بعرض على جرم الشيء حتى يتداخل,دح
504,دحر,دفع الشيء بقوة لإبعاده كراهة ونفورًا منه,دح
505,دحض,انزلاق الجسم بثقله كله لزَلَقِ مقره وانحداره,دح
506,دحو,بسط الشيء بسطاً جزئياً بنحو الضغط مع كفّ أطرافه,دح
507,دخخ,تخلل أثناء الشيء المنتشر وخفة كثافته,دخ
508,دخر,تغلغل الضعف والرخاوة في الشخص فلا يكون فيه شدة,دخ
509,دخل,ولوج الشيء أو تغلغله في أثناء شيء آخر,دخ
510,دخن,تجمع مخلخل من ذرّات كثيرة تسطع في الجو,دخ
511,درأ,دفع أو اندفاع بقوة عظيمة بلا صد,در
512,درج,ضم أو احتواء في مَضَمّ للنقل برفق,در
513,درر,جريان المائع ونحوه باندفاع واسترسال,در
514,درس,ذهاب جِدّةِ الشيء الفطرية وقوته بما يعتريه,در
515,درك,لحاق أو تعلق بطرف الشيء، أو أقصاه,در
516,دره,الاندفاع للمخالطة مفاجأة,در
517,درهم,ذهاب ما به قوة الشيء من أثنائه مع بقاء ظاهره,در
518,درى,تغلغل الشيء بدقة وقوة خلال جرم كثيف,در
519,دسر,دفع الصلب الدقيق في أثناء الشيء ليبقى فيه,دس
520,دسس,دفع الشيء في أثناء تراب حتى يغيب فيه,دس
521,دسو,اختفاء الشيء باندساسه أو تواريه في كِنّ,دس
522,دعع,دفع الجرم الرخو بضغط فيكتنز ويتداخل,دع
523,دعو,جذب الشيء، أو محاولة ضمه إلى حيز أو أمر,دع
524,دفأ,تراكم شعر أو دقاق بكثافة على ظاهر الشيء,دف
525,دفع,اندراء بكثافة مع تقطع,دف
526,دفف,مقابلة جانب عريض من الشيء جانبًا آخر منه,دف
527,دفق,اندفاع المحتوى في جوف إلى خارجه بقوة,دف
528,دقق,صدم الشيء بصلب أو ضغطه بقوة فيتفتت,دق
529,دكك,الضغط الشديد على متماسك متسنم حتى يتداخل,دق
530,دلك,زوال غلظ الشيء أو حدته بنحو العرك فيلين,دل
531,دلل,الامتداد من أعلى إلى أسفل اتجاهاً إلى شيء بقوة,دل
532,دلو,امتداد الشيء إلى سفل بثقل محدود ليتصل بشيء,دل
533,دمر,غشيان بفساد محيط,دم
534,دمع,سيلان المائع قليلاً قليلاً من جسم يبدو ملتئماً,دم
535,دمغ,التمكن والتحكم في الشيء من أعلى,دم
536,دمم,تسوية ظاهر الشيء بما يشبه كبس الشقوق,دم
537,دمى,مائع أحمر تمتلئ به أثناء بدن الحي فيتجسم,دم
538,دنر,(كلمة معربة),دن
539,دنن,رسوخ وثبات في الموضع,دن
540,دنو,قرب الوصول إلى المقر المراد نزولاً,دن
541,دهده,انحدار شيء غليظ أو ثقيل في منحدر بضغط,دهـ
542,دهر,اندفاع إلى جوف أو مهواة مع مرور بسلاسة,دهـ
543,دهق,صب الشيء في فجوة بحيث ينضغط فيها,دهـ
544,دهم,سواد أو كثيف معتم يغشى ظاهر الشيء,دهـ
545,دهن,مائع ذو لزوجة ينشأ بعسر ويلين به,دهـ
546,دهى,جرف الشيء المجوف كثيراً يندفع فيه بقوة,دهـ
547,دور,تحوي الشيء، أو إحاطته حول شيء,در
548,دول,تحول الشيء الغليظ بعيدًا عن مكانه حتى يتميز,دل
549,دوم,امتداد مكاني أو زماني مع ثبات على حال واحدة,دم
550,دون,كون الشيء منخفضًا في أسفل شيء,دن
551,دين,حق للغير يلزم ذمة بقوة أو تمكن شديد,دن
552,ذأب,امتدادٌ من الشيء إلى أعلى باندفاع,ذ ب
553,ذأم,تحقير الشيء -تصغير حجمه,ذ م 
554,ذبب,حادٌّ دقيق الحَرَم يسبق أو ينفذ باندفاع,ذ ب
555,ذبح,شقٌّ يغور دقيقًا في جُرم ملتحم,ذ ب
556,ذخخ,تسيب بسهولة للمذخور في باطن الشيء-مما الشأن صعوبة تسيبه,ذ خ
557,ذخر,حفظ الشيء في جوف أو ظرف زمنًا ممتدًا,ذ خ
558,ذرأ,نشر أشياء دقيقة ناشئة (من أثناء شيء),ذ ر
559,ذرع,امتدادٌ بقوة من شيء مع التحام ودقة نسبية,ذ ر
560,ذرو,نفاذٌ إلى أعلى أو إلى الظاهر بامتدادٍ ما مع شيء من التجمع والدقة,ذ ر
561,ذعع,تفرق الشيء أجزاء متصلة من ضعف أو رقة,ذ ع
562,ذعن,انقيادٌ بسلاسة مع لين الباطن,ذ ع
563,ذقذق,نفاذٌ الأشياء شديدة الوقع من باطن بقوة,ذ ق
564,ذقن,نتوء دقيق عن السواء له أصل عريض مع صلابة في الباطن,ذ ق
565,ذكذك,حيوية وانتباه في الباطن,ذ ك
566,ذكر,قوة الشيء وصلابته مادته بحيث ينفذ,ذ ك
567,ذكو,حدّة بالغة الشدة في أثناء الشيء يظهر أثرها,ذ ك
568,ذلل,نقص ارتفاع الشيء؛ فيقرب ويتيسر التعامل معه,ذ ل
569,ذم,دقيق أو قليل غير مجسم له أثر-,ذ م 
570,ذنب,امتداد مع دقة إلى الخلف وإلى أسفل,ذ ن
571,ذنن,نفاذ سائل أو نحوه من باطن أو أثناء بامتداد مع غلظ,ذ ن
572,ذهب,انتقال الشيء، أو خلوّ حيّزه منه,ذ هـ
573,ذهل,نوع من الطفر والتخطي جملةً,ذ هـ
574,ذهه,ذكاء القلب وشدة الفطنة ,ذ هـ
575,ذود,الدفع والطرد عن حمى أو مورد,ذ و
576,ذوق,معرفة طعم الشيء (وقعه على الحس) بالتناول منه,ذ ق
577,ذيع,إذهاب الشيء كله متفرقًا بحيث لا يُسترجع,ذ ع
578,رأد,تثني الشيء من طراءته، أو حداثته؛ فلا يَصْلُبُ، ولا يشتد,ر د
579,رأس,الطرف الجامع لقوام الشيء في أعلاه أو مقدمه,ر س
580,رأف,الرحمة والرقة,ر ف
581,رأى,لحظ العين الشيء حال اتجاهها إليه, ر أ
582,ربب,استغلاظ المائع (ونحوه) حتى يتماسك من أجل الإصلاح، أو الانتفاع,ر ب
583,ربح,زيادة تتولّد عن الشيء من جنسه بجهد ما,ر ب
584,ربص,جُثوم - أو ثبات - للشيء في مكانه مع استغلاظ، أو حدّة ما,ر ب
585,ربط,شَدُّ الشيء - أي تثبيته وإمساكه؛ لا يتسيب، أو يبرح,ر ب
586,ربع,التئام الشيء متجمعًا متناسب الأبعاد مع عدم انتشاره,ر ب
587,ربو,نمو الشيء مستغلظًا مرتفعًا,ر ب
588,رتت,تحبس بسبب امتساك دقيق وتعوق الانطلاق,ر ت
589,رتع,الإقامة على مرعَى خَصْبٍ كثير الكلأ,ر ت
590,رتق,التحام جوف الشيء الرطب - أو الندى - نحو اللحم,ر ت
591,رتل,انتظام أفراد النابت من شيء في تواليها (مع مسافات بينها) متساوية,ر ت
592,رثث,بلى ما كان متماسكًا من حبل وثوب وغيرهما,ر ث
593,رجأ,تأخّرُ المُقبل مسافةً ما - أو تأخيره,ر ج
594,رجج,اضطراب الجرم (المتجمع) من رخاوته,ر ج
595,رجز,ارتعاد عند النهوض – أو الحمل - بسبب الثقل العظيم,ر ج
596,رجس,مُستقذر - أو مُنَفِّرُ - حاد يثور في الجوف، أو منه,ر ج
597,رجع,تحوّل عن الاتجاه - أو الحال - إلى عكسه,ر ج
598,رجف,اضطراب الشيء من أصله اضطرابًا شديدًا يكاد ينقلع منه,ر ج
599,رجل,اختلاف الحركة رأسيًا مع امتداد ونصب أو حمل رأسي,ر ج
600,رجم,قذف الشيء بحجر ونحوه إصابةً بقوة وثقل,ر ج
601,رجو,إشراف الجسم القائم على مهواة فيها مادة نافعة,ر ج
602,رحب,انبساط الحَيِّز اللاحق بشيء,ر ح
603,رحح,انبساط جِرْمِ الشيء - أي اتساعه، أو عرضه - مع رقة سمك,ر ح
604,رحق,صفاء الشيء وسهولته بذهاب غِلَظِه وحدّته من أثنائه,ر ح
605,رحل,الانتقال - أو السفر - إلى مكان بعيد ركوبًا,ر ح
606,رحم,اتساع في باطن الشيء المتضام أو أثنائه - مع رقة وبلال,ر ح
607,رخو,طراوة الشيء (المنتفخ) لتَنَدّي أثنائه وعَدَمِ جفافها واشتدادها,ر خ
608,ردأ,دفع المرتفع الذي يُخْشَى سقوطه بقوة تجعله يتماسك ويتجمع,ر د
609,ردد,صد استرسال ما يمتد؛ فينعكس اتجاهه، أو يتراكم ويكثف,ر د
610,ردف,لحاق تجمع - أو كتلة - الشيء من خلفه، أو آخره,ر د
611,ردم,تراكم مادة مناسبة في ثلمة - أو فجوة - حتى تُسَدَّ,ر د
612,ردى,صدم بشدة وثقل عظيمين,ر د
613,رذذ,مادة رقيقة تنتشر منتثرة مع سكون ودوام,ر ذ
614,رذل,تميز الشيء ضعيفًا (رديئًا، أو فاسدًا) بعدَ ذَهاب جيّده منه,ر ذ
615,رزز,تداخل - أو دخول - باكتناز وثبات,ر ز
616,رزق,ما يدخُل الجوف من طعام ونحوه باستر سال، أي دائمًا,ر ز
617,رسخ,تمكن ثبوتِ الشيء بتغلغله في متخلخل أسفله,ر س
618,رسس,النفاذ إلى عمق الشيء - أو أثنائه - بقوّة ودقة,ر س
619,رسل,تَسَيُّب من المقر - أو الحيز - مع امتداد وتميز,ر س
620,رسو,ثبات الشيء بلزوم أسفله - أو باطنه - ما يُمسكه بتمكن,ر س
621,رشد,صلابة أثناء الشيء وتماسكها تماسكًا شديدًا,ر ش
622,رشش,انتشار أشياء طرية دقيقة وكثيرة من الشيء,ر ش
623,رصد,لزوم مكان للترقب مع تحفز للأخذ، أو الإصابة,ر ص
624,رصص,التحام المادة (اللينة) مع غِلَظ وقوة,ر ص
625,رضض,رخاوة الشيء الغليظ لإذهاب غِلَظ أثنائه بالدق ونحوه,ر ض
626,رضع,مص اللبن – أو المائع - إلى الباطن من كتلة رخوة كالضرع,ر ض
627,رضو,تشبع النفس وامتلاؤها بلالًا ورقة نحو شيء,ر ض
628,رطب,تندي الشيء الكثيف المتماسك؛ وبلل أثنائه وطراءتها,ر ط
629,رطط,اختلاط الماء ونحوه بكثيف يُعكّره ويلزمه,ر ط
630,رعب,امتلاء جوف الشيء بغضّ طَرِي يرتج فيه,ر ع
631,رعد,اضطراب الشيء المتجمع الغض مهتزًا مع تماسكه,ر ع
632,رعع,امتداد الجرم مع رقته ورخاوته، أو ضعفه,ر ع
633,رعو,الرد (بلطف) عن الاتجاه غير المرغوب ,ر ع
634,رعى,ما تَغْتَذِي به الماشية من نبات غضّ طري فيحفظ حياتها,ر ع
635,رغب,قَبولُ الجُوفِ رِخوا مُسْتَحَبًّا بكثرة، أو غزارة,ر غ
636,رغد,رخاوة أثناء محببة من اختلاط مواد لطيفة معًا,ر غ
637,رغغ,رخاوة بالغة مع كثافة ما؛ مِنْ خَلْط المائع بدقيق يكثفه,ر غ
638,رغم,تراكم مادة (مخاطية أو ترابية) على الظاهر تُكْرَه,ر غ
639,رفت,تفتت الشيء الهش الأثناء وانسحاقه دقاقًا,ر ف
640,رفث,تسيب بكثافة وانتشار,ر ف
641,رفد,دَعْم وإمساك بلطف لما يمكن أن يتسيب,ر ف
642,رفع,جَذْبُ الشيء - أو دَفْعُه - مسافة إلى أعلى (بقوة),ر ف
643,رفف,طَرَفٌ رقيق يمتدّ رِخْوا، أو غَضًا نَدِيًّا,ر ف
644,رفق,قرب، أو يُسْر حصول وتناول,ر ف
645,رقب,امتداد الشيء (إلى أعلى) مع دقة (نحافة أو انفراد),ر ق
646,رقد,امتداد جسم الشيء متسطحًا ثابتًا ساكنًا لا زوائد قائمة منه,ر ق
647,رقق,انبساط الشيء متسعًا قليل سَمْكِ الجرم ضعيفًا، أو رِخْوًا,ر ق
648,رقم,تميز بقعة محدودة السعة على ظاهر واسع,ر ق
649,رقو,ارتفاع بلطف - أو رفق، أي قلة نتوء,ر ق
650,ركب,استعلاء للاحتمال مع حركة مُيَسَّرة,ر ك
651,ركد,ثبات ما شأنه الحركة في مكانه متجمعًا لا يبرح,ر ك
652,ركز,رسوخ الشيء - أو أصله - في أثناء ما يكتنفه,ر ك
653,ركس,تحول تام من ناحية إلى ناحية,ر ك
654,ركض,حركة مضطربة قوية في حَيِّز، أو جوف,ر ك
655,ركع,انخفاض أعلى جرمِ الشيء (منثنيًا) إلى أسفل,ر ك
656,ركك,ضَعْفُ تماسك الشيء المتجمع، وقلة كثافته,ر ك
657,ركم,تجمع الشيء بعضه فوق بعض طبقات عريضةً مكوّنًا كَوْمةً متجمعة,ر ك
658,ركن,تجوفٌ - أو ظَرْفٌ - شديد الجوانب يجمع ما في باطنه,ر ك
659,رمح,الطعن من بعيد,ر م
660,رمد,انتبار ظاهر الشيء وهياجه لغلظ أو حدة في باطنه,ر م
661,رمز,تحرك بعض ظاهر الشيء من شدة امتلائه بالمائع أو الرخو,ر م
662,رمض,احتواء جوف الشيء على غليظ: حدة أو حرارة,ر م
663,رمم,ضمّ غَضّ - أو رِخْو - (متغيّر أو متحوّل) في الأثناء,ر م
664,رمن,تجمع حب ذي ماء كالعنب في باطن يضمه,ر م
665,رمي,زيادة أو تزايد إلصاقي في الشيء,ر م
666,رنن,صوت حاد أو مؤثر يصدر عن حي أو غيره,ر ن
667,رهب,فراغ باطن الشيء وأثنائه مع تماسك ظاهره,ر هـ
668,رهره,صفاء الشيء اللطيف صفاءً بالغًا بحيث يكون له بريق,ر هـ
669,رهط,حوز أو جمع جزئي بغلظ,ر هـ
670,رهق,غشيان المتقدم أو لحاقه بغلظ يخالطه,ر هـ
671,رهن,احتباس الشيء في حيزه عن الحركة والتصرف لعجز أو نحوه,ر هـ
672,رهو,فراغ أو خلاء كبير ثابت بين أثناء شيء,ر هـ
673,روب,تخثُّر المائع ونحوه (تحولا) للتجمع فِلَذًا رِخوةً,ر ب
674,روح,انبساط - أو اتساع وانتشار - مع شمول ولطفٍ ما,ر ح
675,رود,حركة انتقال - أو تردد - بخفة وعدم ثبات واستقرار,ر د
676,روض,رخاوةُ الأَرْضِ مِنْ تشبعها بالماء والرطوبة,ر ض
677,روع,كمال ظاهر الشيء رواء مع رقة باطنه بما يناسب طبيعته,ر ع
678,روغ,تقلب وتحول - أو تقليب وتحويل - يُقْصَد به شمول التغطّي برخو متسيّب,ر غ
679,ريب,أن ينزل بالقار الساكن ما يُزعجه ولا يتميز له وجه الخلاص منه,ر ب
680,ريد,تقدم – أو نتوء واتجاه - إلى غاية، أو حد معين,ر د
681,ريش,ما ينبت منتشرًا على ظاهر جلد الحي؛ فيكسوه,ر ش
682,ريع,زيادة الشيء - أو ارتفاعه - عن المعتاد، أو عما حوله,ر ع
683,رين,تكون طبقة غريبة شيئًا فشيئًا على ظاهر الشيء حتى تحجب جوهره,ر ن
684,زبد,تجمع هش على ظاهر الشيء ينفذ من أثنائه,ز ب
685,زبر,نوع من الرد والضبط الدائم بصلب عظيم ينصب ما شأنه أن يتسيب,ز ب
686,زبن,اندفاع الشيء ناتئًا شديدًا في أو من جوف الشيء,ز ب
687,زتت,إضافة شيء أو إلحاقه تهيؤًا لما يستلزم هذه الإضافة,ز ت
688,زجج,دفع الشيء ليتقدم داخلًا في شيء أو ليتداخل,ز ج
689,زجر,انفصال أو ابتعاد بعنف وقوة بين ما يفترض تداخله,ز ج
690,زجو,دفع الضعيف للأمام أو بعيدًا برفق,ز ج
691,زحف,بدء الحركة مع الاحتكاك بالأرض من ثقل أو نحوه,ز ح
692,زخخ,الدفع بقوة في وهدة أو ما يشبهها,ز خ
693,زخر,جيشان ما يملأ الظرف من سائل ونحوه بحيث يكاد يفارق ظرفه,ز خ
694,زخرف,مستطرف من دقاق كثيرة تعرو ظاهر الشيء نافذة منه,ز خ
695,زرب,مكمن ضيق يحتبس فيه الشيء أو يتخزن ليحفظ,ز ر
696,زرر,نفاذ بدقة لضم أطراف أو جوانب منفصلة أو إمساكها معًا,ز ر
697,زرع,نبات ما هو دقيق الجرم غض ينمو قائمًا,ز ر
698,زرق,نفاذ بخفة واندفاع إلى العمق أو منه,ز ر
699,زري,محدودية قدر الشيء في تجمعه أي كونه دون ما ينبغي,ز ر
700,زعع,تحريك الشيء القوي الثبوت حركة مترددة مع بقاء أصله في مقره,ز ع
701,زعم,ضم الشيء في باطنه ما يظهر قليل منه,ز ع
702,زغغ,دفع أشياء دقيقة فتختفي في أثناء,ز غ
703,زفر,حمل مع حركة,ز ف
704,زفف,تحرك جمعي في خفة مع صوت ما,ز ف
705,زقق,دفع بقوة إلى الازدحام أو الاحتباس في الجوف,ز ق
706,زقم,بلع إلى الباطن بغلظ وقوة,ز ق
707,زكر,ملء الكيس ونحوه بمائع للإيعاء,ز ك
708,زكك,امتلاء بمادة لطيفة,ز ك
709,زكو,زيادة الشيء في ذاته مع جودة نوعه,ز ك
710,زلف,انحدار ما حول المكان بكثافة منتقلًا إليه حتى يتجمع فيه,ز ل
711,زلق,تسيب العالق بجوف الشيء ونفاذه منه بسهولة ونعومة,ز ل
712,زلل,انزلاق عن الموضع لاستوائه مع ملاسته التامة,ز ل
713,زلم,استواء ظاهر الممتد (الدقيق كالإصبع) من الشيء,ز ل
714,زمر,ضم أو تضام قوي يستمر,ز م
715,زمل,تقارن شيئين أو أكثر في الاحتمال,ز م
716,زمم,انضمام الشيء على كثير لطيف حتى يمتلئ به ويستوي ظاهره,ز م
717,زمه,حدة تشيع في الجو,ز م
718,زنج,جفاف الباطن ويُبسه أي فقده البلال,ز ن
719,زنم,تعلق الجرم (النافذ من شيء) بظاهره أدنى تعلق,ز ن
720,زنن,احتقان مادة لطيفة بقوة في باطن شيء,ز ن
721,زني,ضيق الحيز أو الوعاء بما فيه من مائع بحيث يكاد ينفجر منه,ز ن
722,زهد,قلة أخذ الشيء في الجوف ورده أي الاحتباس عنه,ز هـ
723,زهر,بياض يستطاب ويستطرف يكون في الشيء أو منه مع رقة وإشراق,ز هـ
724,زهزه,ظهور علامات العظمة دون كمال أساسها,ز هـ
725,زهق,خروج أو ذهاب لما كان يعمر باطن الشيء وعمقه,ز هـ
726,زهو,بروز ما في باطن الشيء من قوة النمو أو النتاج بحيث تبدو واضحة,ز هـ
727,زوج,تداخل بين شيء وآخر حتى يشتبكا ويختلطا ويرتبطا معًا,ز ج
728,زود,ما يُعد من الطعام والماء لحال البعد عنهما أمدًا طويلًا,ز د
729,زور,امتساك عدد كبير (جمع) في شيء ما بانتظام وامتداد وانعطاف,ز ر
730,زوغ,الميل أو الانحراف بشدة عن الاطراد في الاتجاه المستقيم,ز غ
731,زول,تحرك الشيء انتقالًا عن موضعه بخفة,ز ل
732,زيت,دهن ذو كثافة,ز ت
733,زيد,امتداد للجرم مضاف إلى أصله,ز د
734,زيل,تباعد ما هو متصل في الأصل بعضه عن بعض,ز ل
735,زين,زيادة محببة تعلق بظاهر الشيء ناشئة عما يزخر به باطنه,ز ن
736,سأل,استخراج ما في حوزة أخرى أي طلب تحصيله بدفع أو حث,س ل
737,سأم,الملل ونحوه (وحقيقته عدم الصبر على استمرار أمر),س م
738,سبأ,تحول أو تغير مصحوب بحدة,س ب
739,سبب,امتداد دقيق قوي موصل,س ب
740,سبت,انبطاح الشيء مع سلاسة سطحه بلا نتوء أو نمو لذهاب حدة باطنه,س ب
741,سبح,مخالطة بتمدد لما شأنه أن يغمر مع عدم الانغمار فيه,س ب
742,سبط,امتداد الشيء طولًا مع قوته واستواء ظاهره أو رخاوته,س ب
743,سبع,تعدي الحيز الخاص إلى غيره للاغتذاء ونحوه، كما يفعل السباع ويفعل السارق,س ب
744,سبغ,أن يمتد من الشيء ما يصير كالغشاء الساتر لما وراءه,س ب
745,سبق,تقدم الشيء من بين ما حوله في قوة وجد,س ب
746,سبل,امتداد إلى أسفل مع اتصال,س ب
747,ستر,تغطية الشيء ما وراءه,س ت
748,سجج,رقة كثافة الشيء وعدم غلظه فيكون معتدلاً,س ج
749,سجد,انخفاض أعلى الشيء القائم منثنيًا إلى أسفل ( كأنما عن ضغط),س ج
750,سجر,توالي انحدار المائع ونحوه إلى الحيز حتى يتجمع ويمتلئ الحيز منه,س ج
751,سجل,تضمن الظرف العميق ما يملؤه بنحو الصبّ ملأً تامًا حتى يقوم بنفسه، أي يقوم بنفسه,س ج
752,سجن,حبس الشيء أو حوزه في جوف أو حيز شديد,س ج
753,سجو,سكون الظاهر مع انبساطه واطمئنانه على الوجه الأكمل للتناول ( للتعامل),س ج
754,سحب,جر وتحريك لما هو مستقر أو مماس لمقره,س ح
755,سحت,قشر ما هو شديد الالتصاق - أو ظاهر- بسطح عنه بدقة، أوقليلا قليلا,س ح
756,سحح,سيلان متتابع بغزارة أو اتساع من عرض شيء أي بنفاذ من أثنائه,س ح
757,سحر,فراغ يتخلل باطن الشيء البادي التجسُّم والامتداد,س ح
758,سحق,ذهاب الغلظ الذي في عمق الشيء دقًا وسهكا، أو خروجًا بامتداد طولي,س ح
759,سحل,امتداد الشيء سهلًا مقشورًا مجردًا من الغلظ,س ح
760,سخخ,لين الأرض وضعف جرمها (= الشيء الكثيف)، بحيث ينفذ فيه لخلوه من الصلادة,س خ
761,سخر,انقياد بيسر مع عدم مقاومة، ويلزم ذلك الخفة,س خ
762,سخط,الغضب الشديد استنقاصا لما يقدّم من عمل أو عطاء,س خ
763,سدد,تراكم مادة في فجوة - أو فراغ- تقوم فيه؛ فتمنع النفاذ,س د
764,سدر,تحوز بكثافة أو تركز مع امتداد أوانتشار ونوع من الحجب,س د
765,سدس,كثافة وامتداد,س د
766,سدو,امتداد يقوم به الشيء ويتخذ هيئته,س د
767,سرب,نفق أو تجوف دقيق يمتد متين الجوانب,س ر
768,سربل,انسراب الشيء في أثناء ما يغطيه بتمكّن أوملازمة,س ر
769,سرج,فتيل أو حبل ممتد يعلق به لطيف يؤنس ويمكّن,س ر
770,سرح,انطلاق أو انفراج أو انبساط في يسر وسهولة,س ر
771,سرد,خرز متوال مع شد، أي ربط ولأم شديد,س ر
772,سردق,(لفظ معرب) يعني الخيمة الكبيرة أو السور المحيط,س ر
773,سرر,غؤور إلى العمق بامتداد ودقة,س ر
774,سرط,مرور في المسلك الممتد بيسر وسهولة,س ر
775,سرع,اختراق أو امتداد بقوة ودقة أو حدة,س ر
776,سرف,تجاوز الحد أو الحق في الأخذ من الشيء إلى الإهدار أو الإفساد,س ر
777,سرق,أخذ الشيء من عمق حيّزه بحيلة أو طريقة خفية إلى حيّزآخر,س ر
778,سرم,منفذ يمتد دقيقا مع ضمّ أو اكتناف,س ر
779,سرمد,الدوام الزمني,س ر
780,سرو,نفاذ الشيء الدقيق الممتد (في أو من) أثناء محوطة بقوة,س ر
781,سطح,انبساط عرضي أي مع عرض,س ط
782,سطر,اصطفاف أفراد أو أشياء طوليًا بانضباط,س ط
783,سطط,تمدّد الشيء دقيقا مع غلظ وتضخم في طرفه أو أعلاه,س ط
784,سطو,الامتداد للتناول بقوة أو غلظ من جوف أو حيّز,س ط
785,سعد,جريان مادة القوة والتغذية في أثناء الشيء طيبة محوزة فيه، فتمدّه بقوته وقوامه,س ع
786,سعر,انتشار الحدة في الأثناء بسبب ذهاب ما ينبغي أن يشغلها من الرخاوة والبلال,س ع
787,سعع,انحسار وذهاب من جرم الشيء,س ع
788,سعو,تسيب جرم الشيء المجتمع وذهابه شيئًا بعد شيء,س ع
789,سغب,الجوع، أي فراغ الجوف مما ينضم عليه عادةً,س غ
790,سفح,انحدار بقوة أو كثافة,س ف
791,سفر,كشف ظاهر الشيء أو أعلاه بزوال ما يعروه أو يغشاه,س ف
792,سفع,لصوق ما له حدة أو كثافة على ظاهر الشيء,س ف
793,سفف,مرور الدقاق الجافة الهابية ( من تراب الأرض ونحوه) نافذةً من أثناء أو مداخلة إياها بحدة وقوة,س ف
794,سفك,إراقة المائع المحتبس في البدن بحدة أو قوة,س ف
795,سفل,كون الشيء تحت غيره أو دونه متميزًا بذلك,س ف
796,سفن,النحت من ظاهر الشيء باتجاه باطنه للتسوية أو لصنع فجوة في ذلك الظاهر,س ف
797,سفه,خفة جرم الشيء لفراغ أو جفاف يتخلل أثناءه,س ف
798,سقر,ذوبان الغليظ الذي في جوف الشيء - أو أثنائه بنفاذ الحر أو حدة شديدة إليه,س ق
799,سقط,هُويٌّ بقوة بعد انقطاع - أو انفصال - من حيز كان يمسك,س ق
800,سقف,غماء يشرف على الجوف - أو العمق - الفارغ للشيء,س ق
801,سقق,نفاذ الغليظ الذي يحشو الجوف أو العمق منه,س ق
802,سقم,جفاف جرم الشيء على غير المعتاد لوجود غليظ - أو حاد - في باطنه,س ق
803,سقى,تحصيل الماء ونحوه من المائع في الجوف بإنفاذه إليه,س ق
804,سكب,جريان المائع - أو الرخو - في مجرى دقيق بيسر وانضباط إلى مقره,س ك
805,سكت,توقف ما يجري في الأثناء - أو منها - سكونًا أو انقطاعًا,س ك
806,سكر,سد الفتحة - او المنفذ - الذي يجري منه المائع - أو اللطيف؛ فيحتبس أي يقف جريانه,س ك
807,سكك,تضايق بضبط شديد في المنفذ الممتد (المستقيم),س ك
808,سكن,استقرار في جوف حيّز أو باطن,س ك
809,سلب,أخذ بقوة لما يعلق ممتدًا بحيز آخر ويلزمه تجرد الحيز الآخر,س ل
810,سلح,نفاذ بحدة وامتداد,س ل
811,سلخ,نزع ما هو ملتصق محيط بظاهر الشيء فينكشف,س ل
812,سلط,التمكن من القهر من بعيد,س ل
813,سلف,شيء يتقدم أو يسبق نوعه بلطف,س ل
814,سلق,تأثر باطن الشيء بحدة تنال ظاهره فتذهب صلادته ويلين,س ل
815,سلك,نفاذ في أثناء (ضيقة) بدقة وامتداد: كذلك الخيط,س ل
816,سلل,انسحاب الشيء من أثناء أو فيها بطول ورفق أو لطف,س ل
817,سلم,صحة جرم الشيء والتئام ظاهره في ذاته أي عدم تصدعه أو تفرع غيره,س ل
818,سمد,انتصاب جرم الشيء قائمًا من شدة اكتنازه بما يشغل جوفه,س م
