bi_root,tri_root,core_meaning,original_chapter
دب,دأب,الاستمرار في إتيان الشيء بجد ودفع يمنع الفتور,دب
دب,دبر,امتداد غائر إلى آخر الشيء أو خلفه بقوة,دب
دث,دثث,إصابة بدفع متسع الوقع أو كثيف يؤلم الأثناء,دث
دث,دثر,تغطي الشيء بطبقة كثيفة من دقاق,دث
دح,دحح,صدم أو ضغط بعرض على جرم الشيء حتى يتداخل,دح
دح,دحو,بسط الشيء بسطاً جزئياً بنحو الضغط مع كفّ أطرافه,دح
دح,دحر,دفع الشيء بقوة لإبعاده كراهة ونفورًا منه,دح
دح,دحض,انزلاق الجسم بثقله كله لزَلَقِ مقره وانحداره,دح
دخ,دخخ,تخلل أثناء الشيء المنتشر وخفة كثافته,دخ
دخ,دخر,تغلغل الضعف والرخاوة في الشخص فلا يكون فيه شدة,دخ
دخ,دخل,ولوج الشيء أو تغلغله في أثناء شيء آخر,دخ
دخ,دخن,تجمع مخلخل من ذرّات كثيرة تسطع في الجو,دخ
در,درر,جريان المائع ونحوه باندفاع واسترسال,در
در,درى,تغلغل الشيء بدقة وقوة خلال جرم كثيف,در
در,دور,تحوي الشيء، أو إحاطته حول شيء,در
در,درأ,دفع أو اندفاع بقوة عظيمة بلا صد,در
در,درج,ضم أو احتواء في مَضَمّ للنقل برفق,در
در,درس,ذهاب جِدّةِ الشيء الفطرية وقوته بما يعتريه,در
در,درك,لحاق أو تعلق بطرف الشيء، أو أقصاه,در
در,دره,الاندفاع للمخالطة مفاجأة,در
در,درهم,ذهاب ما به قوة الشيء من أثنائه مع بقاء ظاهره,در
دس,دسس,دفع الشيء في أثناء تراب حتى يغيب فيه,دس
دس,دسو,اختفاء الشيء باندساسه أو تواريه في كِنّ,دس
دس,دسر,دفع الصلب الدقيق في أثناء الشيء ليبقى فيه,دس
دع,دعع,دفع الجرم الرخو بضغط فيكتنز ويتداخل,دع
دع,دعو,جذب الشيء، أو محاولة ضمه إلى حيز أو أمر,دع
دع,ودع,بقاء الشيء ساكناً قاراً في مقر بلا حركة,دع
دف,دفف,مقابلة جانب عريض من الشيء جانبًا آخر منه,دف
دف,دفأ,تراكم شعر أو دقاق بكثافة على ظاهر الشيء,دف
دف,دفع,اندراء بكثافة مع تقطع,دف
دف,دفق,اندفاع المحتوى في جوف إلى خارجه بقوة,دف
دق,دقق,صدم الشيء بصلب أو ضغطه بقوة فيتفتت,دق
دق,ودق,وجود حدة أو حاد في باطن أو حيز,دق
دق,دكك,الضغط الشديد على متماسك متسنم حتى يتداخل,دق
دل,دلل,الامتداد من أعلى إلى أسفل اتجاهاً إلى شيء بقوة,دل
دل,دلو,امتداد الشيء إلى سفل بثقل محدود ليتصل بشيء,دل
دل,دول,تحول الشيء الغليظ بعيدًا عن مكانه حتى يتميز,دل
دل,دلك,زوال غلظ الشيء أو حدته بنحو العرك فيلين,دل
دم,دمم,تسوية ظاهر الشيء بما يشبه كبس الشقوق,دم
دم,دمى,مائع أحمر تمتلئ به أثناء بدن الحي فيتجسم,دم
دم,دوم,امتداد مكاني أو زماني مع ثبات على حال واحدة,دم
دم,أدم,غلاف يمسك الشيء ويطيب ظاهره أو يسيغه,دم
دم,دمر,غشيان بفساد محيط,دم
دم,دمع,سيلان المائع قليلاً قليلاً من جسم يبدو ملتئماً,دم
دم,دمغ,التمكن والتحكم في الشيء من أعلى,دم
دن,دنن,رسوخ وثبات في الموضع,دن
دن,دنو,قرب الوصول إلى المقر المراد نزولاً,دن
دن,دون,كون الشيء منخفضًا في أسفل شيء,دن
دن,دين,حق للغير يلزم ذمة بقوة أو تمكن شديد,دن
دن,دنر,(كلمة معربة),دن
دهـ,دهده,انحدار شيء غليظ أو ثقيل في منحدر بضغط,دهـ
دهـ,دهى,جرف الشيء المجوف كثيراً يندفع فيه بقوة,دهـ
دهـ,دهر,اندفاع إلى جوف أو مهواة مع مرور بسلاسة,دهـ
دهـ,دهق,صب الشيء في فجوة بحيث ينضغط فيها,دهـ
دهـ,دهم,سواد أو كثيف معتم يغشى ظاهر الشيء,دهـ
دهـ,دهن,مائع ذو لزوجة ينشأ بعسر ويلين به,دهـ
ذأء,أذذ,القطع الوَحِيُّ السهل,ذ أ/ء
ذأء,أذى,إفرازٌ - أو نحوه - مُنَفِّر (للنفس)، أو مقلق,ذ أ/ء
ذب,ذبب,حادٌّ دقيق الحَرَم يسبق أو ينفذ باندفاع,ذ ب
ذب,ذأب,امتدادٌ من الشيء إلى أعلى باندفاع,ذ ب
ذب,ذبح,شقٌّ يغور دقيقًا في جُرم ملتحم,ذ ب
ذخ,ذخخ,تسيب بسهولة للمذخور في باطن الشيء-مما الشأن صعوبة تسيبه,ذ خ
ذخ,ذخر,حفظ الشيء في جوف أو ظرف زمنًا ممتدًا,ذ خ
ذو,ذود,الدفع والطرد عن حمى أو مورد,ذ و
ذر,ذرر,نثر الدقائق البالغة الدقة كأنها مسحوقة,ذ ر
ذر,ذرو,نفاذٌ إلى أعلى أو إلى الظاهر بامتدادٍ ما مع شيء من التجمع والدقة,ذ ر
ذر,ذرأ,نشر أشياء دقيقة ناشئة (من أثناء شيء),ذ ر
ذر,وذر,تبضع اللحم أو الشيء قطعًا محدودة,ذ ر
ذر,ذرع,امتدادٌ بقوة من شيء مع التحام ودقة نسبية,ذ ر
ذع,ذعع,تفرق الشيء أجزاء متصلة من ضعف أو رقة,ذ ع
ذع,ذيع,إذهاب الشيء كله متفرقًا بحيث لا يُسترجع,ذ ع
ذع,ذعن,انقيادٌ بسلاسة مع لين الباطن,ذ ع
ذق,ذقذق,نفاذٌ الأشياء شديدة الوقع من باطن بقوة,ذ ق
ذق,ذوق,معرفة طعم الشيء (وقعه على الحس) بالتناول منه,ذ ق
ذق,ذقن,نتوء دقيق عن السواء له أصل عريض مع صلابة في الباطن,ذ ق
ذك,ذكذك,حيوية وانتباه في الباطن,ذ ك
ذك,ذكو,حدّة بالغة الشدة في أثناء الشيء يظهر أثرها,ذ ك
ذك,ذكر,قوة الشيء وصلابته مادته بحيث ينفذ,ذ ك
ذل,ذلل,نقص ارتفاع الشيء؛ فيقرب ويتيسر التعامل معه,ذ ل
ذم,ذم,دقيق أو قليل غير مجسم له أثر-,ذ م 
ذم,ذأم,تحقير الشيء -تصغير حجمه,ذ م 
ذن,ذنن,نفاذ سائل أو نحوه من باطن أو أثناء بامتداد مع غلظ,ذ ن
ذن,أذن,مرور لطيف من منفذ خلال أثناء مرورًا له أثر قوي,ذ ن
ذن,ذنب,امتداد مع دقة إلى الخلف وإلى أسفل,ذ ن
ذهـ,ذهه,ذكاء القلب وشدة الفطنة ,ذ هـ
ذهـ,ذهب,انتقال الشيء، أو خلوّ حيّزه منه,ذ هـ
ذهـ,ذهل,نوع من الطفر والتخطي جملةً,ذ هـ
رو,ورى,احتواء جوف الشيء على رقيق له حِدّةٌ يَخْرج، أو يبرز,ر و 
رأ,رأى,لحظ العين الشيء حال اتجاهها إليه, ر أ
رب,ربب,استغلاظ المائع (ونحوه) حتى يتماسك من أجل الإصلاح، أو الانتفاع,ر ب
رب,ربو,نمو الشيء مستغلظًا مرتفعًا,ر ب
رب,روب,تخثُّر المائع ونحوه (تحولا) للتجمع فِلَذًا رِخوةً,ر ب
رب,ريب,أن ينزل بالقار الساكن ما يُزعجه ولا يتميز له وجه الخلاص منه,ر ب
رب,أرب,جمع المتفرق (أو ما شأنه التفرق)، أي رَبطه معا بضبط وإحكام,ر ب
رب,ربح,زيادة تتولّد عن الشيء من جنسه بجهد ما,ر ب
رب,ربص,جُثوم - أو ثبات - للشيء في مكانه مع استغلاظ، أو حدّة ما,ر ب
رب,ربط,شَدُّ الشيء - أي تثبيته وإمساكه؛ لا يتسيب، أو يبرح,ر ب
رب,ربع,التئام الشيء متجمعًا متناسب الأبعاد مع عدم انتشاره,ر ب
رت,رتت,تحبس بسبب امتساك دقيق وتعوق الانطلاق,ر ت
رت,رتع,الإقامة على مرعَى خَصْبٍ كثير الكلأ,ر ت
رت,رتق,التحام جوف الشيء الرطب - أو الندى - نحو اللحم,ر ت
رت,رتل,انتظام أفراد النابت من شيء في تواليها (مع مسافات بينها) متساوية,ر ت
رث,رثث,بلى ما كان متماسكًا من حبل وثوب وغيرهما,ر ث
رث,ورث,حَوْزُ الإنسان ما كان يملكه آخر بعد موت هذا الآخَرِ,ر ث
رج,رجج,اضطراب الجرم (المتجمع) من رخاوته,ر ج
رج,رجو,إشراف الجسم القائم على مهواة فيها مادة نافعة,ر ج
رج,رجأ,تأخّرُ المُقبل مسافةً ما - أو تأخيره,ر ج
رج,رجز,ارتعاد عند النهوض – أو الحمل - بسبب الثقل العظيم,ر ج
رج,رجس,مُستقذر - أو مُنَفِّرُ - حاد يثور في الجوف، أو منه,ر ج
رج,رجع,تحوّل عن الاتجاه - أو الحال - إلى عكسه,ر ج
رج,رجف,اضطراب الشيء من أصله اضطرابًا شديدًا يكاد ينقلع منه,ر ج
رج,رجل,اختلاف الحركة رأسيًا مع امتداد ونصب أو حمل رأسي,ر ج
رج,رجم,قذف الشيء بحجر ونحوه إصابةً بقوة وثقل,ر ج
رح,رحح,انبساط جِرْمِ الشيء - أي اتساعه، أو عرضه - مع رقة سمك,ر ح
رح,روح,انبساط - أو اتساع وانتشار - مع شمول ولطفٍ ما,ر ح
رح,رحب,انبساط الحَيِّز اللاحق بشيء,ر ح
رح,رحق,صفاء الشيء وسهولته بذهاب غِلَظِه وحدّته من أثنائه,ر ح
رح,رحل,الانتقال - أو السفر - إلى مكان بعيد ركوبًا,ر ح
رح,رحم,اتساع في باطن الشيء المتضام أو أثنائه - مع رقة وبلال,ر ح
رخ,رخخ,رخاوة الشيء لكثرة الندى والرطوبة في أثناء جوفه,ر خ
رخ,رخو,طراوة الشيء (المنتفخ) لتَنَدّي أثنائه وعَدَمِ جفافها واشتدادها,ر خ
رد,ردد,صد استرسال ما يمتد؛ فينعكس اتجاهه، أو يتراكم ويكثف,ر د
رد,ردى,صدم بشدة وثقل عظيمين,ر د
رد,رود,حركة انتقال - أو تردد - بخفة وعدم ثبات واستقرار,ر د
رد,ريد,تقدم – أو نتوء واتجاه - إلى غاية، أو حد معين,ر د
رد,ردأ,دفع المرتفع الذي يُخْشَى سقوطه بقوة تجعله يتماسك ويتجمع,ر د
رد,رأد,تثني الشيء من طراءته، أو حداثته؛ فلا يَصْلُبُ، ولا يشتد,ر د
رد,ورد,بلوغ الماء - أو الشيء - تدلّيًا، أو تقدمًا إليه,ر د
رد,ردف,لحاق تجمع - أو كتلة - الشيء من خلفه، أو آخره,ر د
رد,ردم,تراكم مادة مناسبة في ثلمة - أو فجوة - حتى تُسَدَّ,ر د
رذ,رذذ,مادة رقيقة تنتشر منتثرة مع سكون ودوام,ر ذ
رذ,رذل,تميز الشيء ضعيفًا (رديئًا، أو فاسدًا) بعدَ ذَهاب جيّده منه,ر ذ
رز,رزز,تداخل - أو دخول - باكتناز وثبات,ر ز
رز,رزق,ما يدخُل الجوف من طعام ونحوه باستر سال، أي دائمًا,ر ز
رس,رسس,النفاذ إلى عمق الشيء - أو أثنائه - بقوّة ودقة,ر س
رس,رسو,ثبات الشيء بلزوم أسفله - أو باطنه - ما يُمسكه بتمكن,ر س
رس,رأس,الطرف الجامع لقوام الشيء في أعلاه أو مقدمه,ر س
رس,رسخ,تمكن ثبوتِ الشيء بتغلغله في متخلخل أسفله,ر س
رس,رسل,تَسَيُّب من المقر - أو الحيز - مع امتداد وتميز,ر س
رش,رشش,انتشار أشياء طرية دقيقة وكثيرة من الشيء,ر ش
رش,ريش,ما ينبت منتشرًا على ظاهر جلد الحي؛ فيكسوه,ر ش
رش,رشد,صلابة أثناء الشيء وتماسكها تماسكًا شديدًا,ر ش
رص,رصص,التحام المادة (اللينة) مع غِلَظ وقوة,ر ص
رص,رصد,لزوم مكان للترقب مع تحفز للأخذ، أو الإصابة,ر ص
رض,رضض,رخاوة الشيء الغليظ لإذهاب غِلَظ أثنائه بالدق ونحوه,ر ض
رض,رضو,تشبع النفس وامتلاؤها بلالًا ورقة نحو شيء,ر ض
رض,روض,رخاوةُ الأَرْضِ مِنْ تشبعها بالماء والرطوبة,ر ض
رض,أرض,كثافة الجرم مع غِنَى باطنه بلطيف تقوم به وعليه الأشياء,ر ض
رض,رضع,مص اللبن – أو المائع - إلى الباطن من كتلة رخوة كالضرع,ر ض
رط,رطط,اختلاط الماء ونحوه بكثيف يُعكّره ويلزمه,ر ط
رط,رطب,تندي الشيء الكثيف المتماسك؛ وبلل أثنائه وطراءتها,ر ط
رع,رعع,امتداد الجرم مع رقته ورخاوته، أو ضعفه,ر ع
رع,رعى,ما تَغْتَذِي به الماشية من نبات غضّ طري فيحفظ حياتها,ر ع
رع,رعو,الرد (بلطف) عن الاتجاه غير المرغوب ,ر ع
رع,روع,كمال ظاهر الشيء رواء مع رقة باطنه بما يناسب طبيعته,ر ع
رع,ريع,زيادة الشيء - أو ارتفاعه - عن المعتاد، أو عما حوله,ر ع
رع,رعب,امتلاء جوف الشيء بغضّ طَرِي يرتج فيه,ر ع
رع,رعد,اضطراب الشيء المتجمع الغض مهتزًا مع تماسكه,ر ع
رغ,رغغ,رخاوة بالغة مع كثافة ما؛ مِنْ خَلْط المائع بدقيق يكثفه,ر غ
رغ,روغ,تقلب وتحول - أو تقليب وتحويل - يُقْصَد به شمول التغطّي برخو متسيّب,ر غ
رغ,رغب,قَبولُ الجُوفِ رِخوا مُسْتَحَبًّا بكثرة، أو غزارة,ر غ
رغ,رغد,رخاوة أثناء محببة من اختلاط مواد لطيفة معًا,ر غ
رغ,رغم,تراكم مادة (مخاطية أو ترابية) على الظاهر تُكْرَه,ر غ
رف,رفف,طَرَفٌ رقيق يمتدّ رِخْوا، أو غَضًا نَدِيًّا,ر ف
رف,رأف,الرحمة والرقة,ر ف
رف,رفت,تفتت الشيء الهش الأثناء وانسحاقه دقاقًا,ر ف
رف,رفث,تسيب بكثافة وانتشار,ر ف
رف,رفد,دَعْم وإمساك بلطف لما يمكن أن يتسيب,ر ف
رف,رفع,جَذْبُ الشيء - أو دَفْعُه - مسافة إلى أعلى (بقوة),ر ف
رف,رفق,قرب، أو يُسْر حصول وتناول,ر ف
رق,رقق,انبساط الشيء متسعًا قليل سَمْكِ الجرم ضعيفًا، أو رِخْوًا,ر ق
رق,رقو,ارتفاع بلطف - أو رفق، أي قلة نتوء,ر ق
رق,ورق,طبقاتٌ رقاقٌ عِرَاضٌ لطيفة (ناعمة طرية) تتولد وتكسو,ر ق
رق,رقب,امتداد الشيء (إلى أعلى) مع دقة (نحافة أو انفراد),ر ق
رق,رقد,امتداد جسم الشيء متسطحًا ثابتًا ساكنًا لا زوائد قائمة منه,ر ق
رق,رقم,تميز بقعة محدودة السعة على ظاهر واسع,ر ق
رك,ركك,ضَعْفُ تماسك الشيء المتجمع، وقلة كثافته,ر ك
رك,أرك,إقامة، أو التئام (مع رقة، أو لطف),ر ك
رك,ركب,استعلاء للاحتمال مع حركة مُيَسَّرة,ر ك
رك,ركد,ثبات ما شأنه الحركة في مكانه متجمعًا لا يبرح,ر ك
رك,ركز,رسوخ الشيء - أو أصله - في أثناء ما يكتنفه,ر ك
رك,ركس,تحول تام من ناحية إلى ناحية,ر ك
رك,ركض,حركة مضطربة قوية في حَيِّز، أو جوف,ر ك
رك,ركع,انخفاض أعلى جرمِ الشيء (منثنيًا) إلى أسفل,ر ك
رك,ركم,تجمع الشيء بعضه فوق بعض طبقات عريضةً مكوّنًا كَوْمةً متجمعة,ر ك
رك,ركن,تجوفٌ - أو ظَرْفٌ - شديد الجوانب يجمع ما في باطنه,ر ك
رم,رمم,ضمّ غَضّ - أو رِخْو - (متغيّر أو متحوّل) في الأثناء,ر م
رم,رمي,زيادة أو تزايد إلصاقي في الشيء,ر م
رم,أرم,تضامُّ الشيء في كتلة صلبة منتصبة أو ناصبة,ر م
رم,رمح,الطعن من بعيد,ر م
رم,رمد,انتبار ظاهر الشيء وهياجه لغلظ أو حدة في باطنه,ر م
رم,رمز,تحرك بعض ظاهر الشيء من شدة امتلائه بالمائع أو الرخو,ر م
رم,رمض,احتواء جوف الشيء على غليظ: حدة أو حرارة,ر م
رم,رمن,تجمع حب ذي ماء كالعنب في باطن يضمه,ر م
رن,رنن,صوت حاد أو مؤثر يصدر عن حي أو غيره,ر ن
رن,رين,تكون طبقة غريبة شيئًا فشيئًا على ظاهر الشيء حتى تحجب جوهره,ر ن
رهـ,رهره,صفاء الشيء اللطيف صفاءً بالغًا بحيث يكون له بريق,ر هـ
رهـ,رهو,فراغ أو خلاء كبير ثابت بين أثناء شيء,ر هـ
رهـ,رهب,فراغ باطن الشيء وأثنائه مع تماسك ظاهره,ر هـ
رهـ,رهط,حوز أو جمع جزئي بغلظ,ر هـ
رهـ,رهق,غشيان المتقدم أو لحاقه بغلظ يخالطه,ر هـ
رهـ,رهن,احتباس الشيء في حيزه عن الحركة والتصرف لعجز أو نحوه,ر هـ
زب,أزز,ازدحام الأشياء وتضاغطها لقلة الفراغ بينها ويلزم ذلك حركة كالتموج,ز ب
زب,زبب,امتلاء الشيء باكتناز يظهر أثره اشتدادًا فيه أو نضحًا على ظاهره,ز ب
زب,زبد,تجمع هش على ظاهر الشيء ينفذ من أثنائه,ز ب
زب,زبر,نوع من الرد والضبط الدائم بصلب عظيم ينصب ما شأنه أن يتسيب,ز ب
زب,زبن,اندفاع الشيء ناتئًا شديدًا في أو من جوف الشيء,ز ب
زت,زتت,إضافة شيء أو إلحاقه تهيؤًا لما يستلزم هذه الإضافة,ز ت
زت,زيت,دهن ذو كثافة,ز ت
زج,زجج,دفع الشيء ليتقدم داخلًا في شيء أو ليتداخل,ز ج
زج,زجو,دفع الضعيف للأمام أو بعيدًا برفق,ز ج
زج,زوج,تداخل بين شيء وآخر حتى يشتبكا ويختلطا ويرتبطا معًا,ز ج
زج,زجر,انفصال أو ابتعاد بعنف وقوة بين ما يفترض تداخله,ز ج
زح,زحح,انتقال الشيء الثقيل قليلًا باحتكاك بمقره,ز ح
زح,زحف,بدء الحركة مع الاحتكاك بالأرض من ثقل أو نحوه,ز ح
زخ,زخخ,الدفع بقوة في وهدة أو ما يشبهها,ز خ
زخ,زخر,جيشان ما يملأ الظرف من سائل ونحوه بحيث يكاد يفارق ظرفه,ز خ
زخ,زخرف,مستطرف من دقاق كثيرة تعرو ظاهر الشيء نافذة منه,ز خ
زد,زود,ما يُعد من الطعام والماء لحال البعد عنهما أمدًا طويلًا,ز د
زد,زيد,امتداد للجرم مضاف إلى أصله,ز د
زر,زرر,نفاذ بدقة لضم أطراف أو جوانب منفصلة أو إمساكها معًا,ز ر
زر,زري,محدودية قدر الشيء في تجمعه أي كونه دون ما ينبغي,ز ر
زر,زور,امتساك عدد كبير (جمع) في شيء ما بانتظام وامتداد وانعطاف,ز ر
زر,وزر,حفظ الشيء بضمه وحمله واحتوائه في الأثناء,ز ر
زر,أزر,اشتداد الشيء الممتد بقوى في أثنائه أو يحيط به,ز ر
زر,زرب,مكمن ضيق يحتبس فيه الشيء أو يتخزن ليحفظ,ز ر
زر,زرع,نبات ما هو دقيق الجرم غض ينمو قائمًا,ز ر
زر,زرق,نفاذ بخفة واندفاع إلى العمق أو منه,ز ر
زع,زعع,تحريك الشيء القوي الثبوت حركة مترددة مع بقاء أصله في مقره,ز ع
زع,وزع,الكف عن الانتشار تجاوزًا للجماعة أو تخطيًا ومفارقة,ز ع
زع,زعم,ضم الشيء في باطنه ما يظهر قليل منه,ز ع
زغ,زغغ,دفع أشياء دقيقة فتختفي في أثناء,ز غ
زغ,زوغ,الميل أو الانحراف بشدة عن الاطراد في الاتجاه المستقيم,ز غ
زف,زفف,تحرك جمعي في خفة مع صوت ما,ز ف
زف,أزف,تقارب المتباعد من الشيء أو جوانبه فيتضايق ما بينها,ز ف
زف,زفر,حمل مع حركة,ز ف
زق,زقق,دفع بقوة إلى الازدحام أو الاحتباس في الجوف,ز ق
زق,زقم,بلع إلى الباطن بغلظ وقوة,ز ق
زك,زكك,امتلاء بمادة لطيفة,ز ك
زك,زكو,زيادة الشيء في ذاته مع جودة نوعه,ز ك
زك,زكر,ملء الكيس ونحوه بمائع للإيعاء,ز ك
زل,زلل,انزلاق عن الموضع لاستوائه مع ملاسته التامة,ز ل
زل,زول,تحرك الشيء انتقالًا عن موضعه بخفة,ز ل
زل,زيل,تباعد ما هو متصل في الأصل بعضه عن بعض,ز ل
زل,زلف,انحدار ما حول المكان بكثافة منتقلًا إليه حتى يتجمع فيه,ز ل
زل,زلق,تسيب العالق بجوف الشيء ونفاذه منه بسهولة ونعومة,ز ل
زل,زلم,استواء ظاهر الممتد (الدقيق كالإصبع) من الشيء,ز ل
زم,زمم,انضمام الشيء على كثير لطيف حتى يمتلئ به ويستوي ظاهره,ز م
زم,زمر,ضم أو تضام قوي يستمر,ز م
زم,زمل,تقارن شيئين أو أكثر في الاحتمال,ز م
زم,زمه,حدة تشيع في الجو,ز م
زم,زمهرير,شدة البرد,ز م
زن,زنن,احتقان مادة لطيفة بقوة في باطن شيء,ز ن
زن,زني,ضيق الحيز أو الوعاء بما فيه من مائع بحيث يكاد ينفجر منه,ز ن
زن,زين,زيادة محببة تعلق بظاهر الشيء ناشئة عما يزخر به باطنه,ز ن
زن,وزن,ثقل الشيء مع عدم انتشار أبعاده,ز ن
زن,زنج,جفاف الباطن ويُبسه أي فقده البلال,ز ن
زن,زنجبيل,ما يسري في الباطن فيصححه ويقويه ويجعله ذاكيًا حادًا,ز ن
زن,زنم,تعلق الجرم (النافذ من شيء) بظاهره أدنى تعلق,ز ن
زهـ,زهزه,ظهور علامات العظمة دون كمال أساسها,ز هـ
زهـ,زهو,بروز ما في باطن الشيء من قوة النمو أو النتاج بحيث تبدو واضحة,ز هـ
زهـ,زهد,قلة أخذ الشيء في الجوف ورده أي الاحتباس عنه,ز هـ
زهـ,زهر,بياض يستطاب ويستطرف يكون في الشيء أو منه مع رقة وإشراق,ز هـ
زهـ,زهق,خروج أو ذهاب لما كان يعمر باطن الشيء وعمقه,ز هـ
سس,أسس,قوي (صلب، أو حاد الأثر) في عمق ينصب أو يتكون عليه ما بعده,س س
سس,وسوس,همس أو صوت جد رقيق لطيف,س س
سو,سوى,استقامة ظاهر الشيء أو سطحه لامتلاء غُئور وسطه أي إكمال نقص ذلك الغُئور,س و
سو,سوأ,عيب أو نقص (قبح، فساد، مرض) يخالط ظاهر الشيء أو باطنه,س و
أس,أسو,ارتفاع الشيء القوي أو الحاد في الفجوة ليستوي أعلاه مع ما حوله,أ س
أس,يأس,تكوّن شعور بمعنى في النفس دقيق له حدة,أ س
سب,سبب,امتداد دقيق قوي موصل,س ب
سب,سيب,جريان الشيء أو سريانه عن تعوق ما بلا نهاية (معتادة),س ب
سب,سبأ,تحول أو تغير مصحوب بحدة,س ب
سب,سبت,انبطاح الشيء مع سلاسة سطحه بلا نتوء أو نمو لذهاب حدة باطنه,س ب
سب,سبح,مخالطة بتمدد لما شأنه أن يغمر مع عدم الانغمار فيه,س ب
سب,سبط,امتداد الشيء طولًا مع قوته واستواء ظاهره أو رخاوته,س ب
سب,سبع,تعدي الحيز الخاص إلى غيره للاغتذاء ونحوه، كما يفعل السباع ويفعل السارق,س ب
سب,سبغ,أن يمتد من الشيء ما يصير كالغشاء الساتر لما وراءه,س ب
سب,سبق,تقدم الشيء من بين ما حوله في قوة وجد,س ب
سب,سبل,امتداد إلى أسفل مع اتصال,س ب
ست,ستر,تغطية الشيء ما وراءه,س ت
سج,سجج,رقة كثافة الشيء وعدم غلظه فيكون معتدلاً,س ج
سج,سجو,سكون الظاهر مع انبساطه واطمئنانه على الوجه الأكمل للتناول ( للتعامل),س ج
سج,سجد,انخفاض أعلى الشيء القائم منثنيًا إلى أسفل ( كأنما عن ضغط),س ج
سج,سجر,توالي انحدار المائع ونحوه إلى الحيز حتى يتجمع ويمتلئ الحيز منه,س ج
سج,سجل,تضمن الظرف العميق ما يملؤه بنحو الصبّ ملأً تامًا حتى يقوم بنفسه، أي يقوم بنفسه,س ج
سج,سجن,حبس الشيء أو حوزه في جوف أو حيز شديد,س ج
سح,سحح,سيلان متتابع بغزارة أو اتساع من عرض شيء أي بنفاذ من أثنائه,س ح
سح,سيح,تسيب المائع ( أو خفيف الحركة) المتحيز بتجاوزه سطح حيزه فيضانًا باتساع أو اطّراد,س ح
سح,سحب,جر وتحريك لما هو مستقر أو مماس لمقره,س ح
سح,سحت,قشر ما هو شديد الالتصاق - أو ظاهر- بسطح عنه بدقة، أوقليلا قليلا,س ح
سح,سحر,فراغ يتخلل باطن الشيء البادي التجسُّم والامتداد,س ح
سح,سحق,ذهاب الغلظ الذي في عمق الشيء دقًا وسهكا، أو خروجًا بامتداد طولي,س ح
سح,سحل,امتداد الشيء سهلًا مقشورًا مجردًا من الغلظ,س ح
سخ,سخخ,لين الأرض وضعف جرمها (= الشيء الكثيف)، بحيث ينفذ فيه لخلوه من الصلادة,س خ
سخ,سخر,انقياد بيسر مع عدم مقاومة، ويلزم ذلك الخفة,س خ
سخ,سخط,الغضب الشديد استنقاصا لما يقدّم من عمل أو عطاء,س خ
سد,سدد,تراكم مادة في فجوة - أو فراغ- تقوم فيه؛ فتمنع النفاذ,س د
سد,سدو,امتداد يقوم به الشيء ويتخذ هيئته,س د
سد,سود,تجمع أو تجسم كثيف أو عظيم يمتد مع رسوخ أو استقرار,س د
سد,سدر,تحوز بكثافة أو تركز مع امتداد أوانتشار ونوع من الحجب,س د
سد,سدس,كثافة وامتداد,س د
سر,سرر,غؤور إلى العمق بامتداد ودقة,س ر
سر,سرو,نفاذ الشيء الدقيق الممتد (في أو من) أثناء محوطة بقوة,س ر
سر,سور,الإحاطة أو التناول بارتفاع أو من الأعلى,س ر
سر,سير,امتداد طولي مطرّد مع دقة ما,س ر
سر,يسر,سريان الرقيق في الباطن ( أو منه) مستطابًا بلطف واتصال,س ر
سر,أسر,شد الشيء - أي إيثاقه بدقيق ممتد؛ لحبسه على وضع ما دائما أو مدة طويلة,س ر
سر,سرب,نفق أو تجوف دقيق يمتد متين الجوانب,س ر
سر,سربل,انسراب الشيء في أثناء ما يغطيه بتمكّن أوملازمة,س ر
سر,سرج,فتيل أو حبل ممتد يعلق به لطيف يؤنس ويمكّن,س ر
سر,سرح,انطلاق أو انفراج أو انبساط في يسر وسهولة,س ر
سر,سرد,خرز متوال مع شد، أي ربط ولأم شديد,س ر
سر,سردق,(لفظ معرب) يعني الخيمة الكبيرة أو السور المحيط,س ر
سر,سرط,مرور في المسلك الممتد بيسر وسهولة,س ر
سر,سرع,اختراق أو امتداد بقوة ودقة أو حدة,س ر
سر,سرف,تجاوز الحد أو الحق في الأخذ من الشيء إلى الإهدار أو الإفساد,س ر
سر,سرق,أخذ الشيء من عمق حيّزه بحيلة أو طريقة خفية إلى حيّزآخر,س ر
سر,سرم,منفذ يمتد دقيقا مع ضمّ أو اكتناف,س ر
سر,سرمد,الدوام الزمني,س ر
سط,سطط,تمدّد الشيء دقيقا مع غلظ وتضخم في طرفه أو أعلاه,س ط
سط,سطو,الامتداد للتناول بقوة أو غلظ من جوف أو حيّز,س ط
سط,سوط,غوص أو مخالطة غليظة من الممتد القوي المستدق في شيء,س ط
سط,وسط,كون الشيء مكتنفًا من حواليه أو آخذًا منهما بالتساوي امتدادا أو قدرا,س ط
سط,سطح,انبساط عرضي أي مع عرض,س ط
سط,سطر,اصطفاف أفراد أو أشياء طوليًا بانضباط,س ط
سع,سعع,انحسار وذهاب من جرم الشيء,س ع
سع,سعو,تسيب جرم الشيء المجتمع وذهابه شيئًا بعد شيء,س ع
سع,سوع,تسيب مرور خلال أثناء ضامة بلطف، أي من غير عنف,س ع
